Comment,Designator,Footprint,"LCSC Part #（optional）"
ATmega328P-AU,U3,Package_QFP:TQFP-32_7x7mm_P0.8mm,ATmega328P-AU
MPU-6050,U4,Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm,MPU-6050
